BOROUGH,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,LAND SQUARE FEET,YEAR BUILT,LOT,SALE PRICE
Manhattan,0,0,,,1910,23,460000.0
Manhattan,0,0,,,1910,23,480000.0
Manhattan,0,0,,,1910,56,2495000.0
Manhattan,0,0,,,1910,56,1625000.0
Manhattan,0,0,,,1910,68,765000.0
Manhattan,0,0,,,1905,35,1775000.0
Manhattan,0,0,,,1905,71,730000.0
Manhattan,0,0,,,1905,71,2660000.0
Manhattan,0,0,,,1920,73,500000.0
Manhattan,0,0,,,1920,73,540000.0
Manhattan,0,0,,,1917,12,1375000.0
Manhattan,0,0,,,1917,12,827500.0
Manhattan,0,0,,,1917,12,582500.0
Manhattan,0,0,,,1917,12,950000.0
Manhattan,0,0,,,1911,25,750000.0
Manhattan,0,0,,,1911,25,583000.0
Manhattan,0,0,,,1911,25,735000.0
Manhattan,0,0,,,1920,71,1500000.0
Manhattan,0,0,,,1920,71,880000.0
Manhattan,0,0,,,1910,21,2450000.0
Manhattan,0,0,,,2003,42,732500.0
Manhattan,0,0,,,2003,42,518000.0
Manhattan,0,0,,,2003,42,1215000.0
Manhattan,0,0,,,2003,42,775000.0
Manhattan,0,0,,,2003,42,800000.0
Manhattan,0,0,,,2003,42,900000.0
Manhattan,0,0,,,2003,42,850000.0
Manhattan,0,0,,,2003,42,735000.0
Manhattan,0,0,,,2003,42,655000.0
Manhattan,0,0,,,2003,42,1080000.0
Manhattan,0,0,,,1983,9,790000.0
Manhattan,0,0,,,1920,47,639000.0
Manhattan,0,0,,,1920,47,875000.0
Manhattan,0,0,,,1920,49,452000.0
Manhattan,0,0,,,1900,60,932500.0
Manhattan,0,0,,,1900,60,980000.0
Manhattan,0,0,,,1920,18,701574.0
Manhattan,0,0,,,1920,18,1200000.0
Manhattan,0,0,,,1900,18,875000.0
Manhattan,0,0,,,1900,18,979000.0
Manhattan,0,0,,,1902,19,1350000.0
Manhattan,0,0,,,1928,22,635000.0
Manhattan,0,0,,,1900,49,750000.0
Manhattan,0,0,,,1928,1,995000.0
Manhattan,0,0,,,1928,1,661862.0
Manhattan,0,0,,,1928,1,835000.0
Manhattan,0,0,,,1928,1,1017000.0
Manhattan,0,0,,,1926,28,1495000.0
Manhattan,0,0,,,1963,1,113692.0
Manhattan,0,0,,,1963,1,101164.0
Manhattan,0,0,,,1963,1,86231.0
Manhattan,0,0,,,1963,1,72260.0
Manhattan,0,0,,,1963,1,103640.0
Manhattan,0,0,,,1963,1,88332.0
Manhattan,0,0,,,1963,1,101726.0
Manhattan,0,0,,,1963,1,116447.0
Manhattan,0,0,,,1963,1,87346.0
Manhattan,0,0,,,1963,1,86712.0
Manhattan,0,0,,,1963,1,87346.0
Manhattan,0,0,,,1963,24,144521.0
Manhattan,0,0,,,1963,24,137150.0
Manhattan,0,0,,,1960,1,118280.0
Manhattan,0,0,,,1960,1,86712.0
Manhattan,0,0,,,1960,1,114975.0
Manhattan,0,0,,,1960,1,129347.0
Manhattan,0,0,,,1960,1,100603.0
Manhattan,0,0,,,1960,1,72260.0
Manhattan,0,0,,,1960,1,101726.0
Manhattan,0,0,,,1960,1,87346.0
Manhattan,0,0,,,1963,1,86231.0
Manhattan,0,0,,,1930,62,655000.0
Manhattan,0,0,,,1930,62,785000.0
Manhattan,0,0,,,1930,70,915000.0
Manhattan,0,0,,,1930,70,849000.0
Manhattan,0,0,,,1930,70,300000.0
Manhattan,0,0,,,1930,9,495846.0
Manhattan,0,0,,,1930,39,1225000.0
Manhattan,0,0,,,1902,48,1115000.0
Manhattan,0,0,,,1902,48,1260000.0
Manhattan,0,0,,,1902,48,1195000.0
Manhattan,0,0,,,1902,48,1075000.0
Manhattan,0,0,,,1913,59,267701.0
Manhattan,0,0,,,1913,59,284101.0
Manhattan,0,0,,,1913,59,207564.0
Manhattan,0,0,,,1913,59,289568.0
Manhattan,0,0,,,1913,59,218498.0
Manhattan,0,0,,,1913,59,207564.0
Manhattan,0,0,,,1889,23,500000.0
Manhattan,0,0,,,1920,28,670000.0
Manhattan,0,0,,,1963,38,530000.0
Manhattan,0,0,,,1963,38,460000.0
Manhattan,0,0,,,1963,38,605000.0
Manhattan,0,0,,,1963,38,677500.0
Manhattan,0,0,,,1963,38,425000.0
Manhattan,0,0,,,1963,38,590000.0
Manhattan,0,0,,,1963,38,475000.0
Manhattan,0,0,,,1963,38,469000.0
Manhattan,0,0,,,1920,65,880000.0
Manhattan,0,0,,,1900,69,2000000.0
Manhattan,0,0,,,1940,12,1090000.0
Manhattan,0,0,,,1940,12,945000.0
Manhattan,0,0,,,1940,12,592500.0
